Pesan,Claim,Klasifikasi,Link
Hari ini di radio orang2 berbicara tentang Whatsapp Gold. Konon akan ada video yang akan diluncurkan besok di Whatsapp dan disebut Martinelli. Jangan buka. Bila masuk ke ponsel Anda dan tidak ada yang bisa Anda lakukan untuk memperbaikinya. Sebarkan berita ini kepada teman yang Anda kenal. Jika Anda menerima pesan untuk memperbarui WhatsApp Gold Jangan dibuka! Mereka baru saja mengumumkan bahwa virusnya serius. Kirimkan ke semua orang yang Anda kenal.”,Pesan WhatsApp Mengenai WhatsApp Gold dan Video Matrinelli,SALAH,https://beta.turnbackhoax.id/articles/21449-salah-pesan-whatsapp-mengenai-whatsapp-gold-dan-video-matrinelli
Assalamualaikum Bapak Bapak RT Adakah pemuda sekitar panjenengan yang kemarin belom lolos masuk kuliah ke unesa atau adakah lulusan SMA yang ingin kuliah di Unesa dan belum … Jika ada japri hari ini nggih maturnuwun Nanti akan kami bantu mengkomunikasikan dan merekomendasikan sebagai warga sekitar unesa,Tawaran Penerimaan Mahasiswa Baru Unesa,SALAH,https://beta.turnbackhoax.id/articles/21288-penipuan-pesan-whatsapp-tawaran-penerimaan-mahasiswa-baru-unesa
"“Hallo! Saya adalah agen TikTok, dan saat ini kami sedang mencari mitra untuk bergabung dengan tim kami. Berdasarkan data konten dan komentar Anda, kami yakin Anda sangat cocok untuk bergabung dengan agensi TikTok kami. Cukup ikuti petunjuk untuk membuat toko TikTok Anda di platform kami. Tanpa perlu pengalaman, Anda akan mendapatkan bimbingan satu per satu dari tutor kami. Kami menjamin pendapatan stabil minimal 300.000 IDR per hari. Jika Anda berminat (usia 24+), silakan hubungi tutor kami melalui WhatsApp dan lampirkan tangkapan layar undangan ini. WhatsApp: https://watiktok[dot]com/id1”",PENAWARAN PEKERJAAN MENJADI MITRA YANG MENGATASNAMAKAN TIKTOK,SALAH,https://beta.turnbackhoax.id/articles/20816-penipuan-pesan-penawaran-pekerjaan-menjadi-mitra-yang-mengatasnamakan-tiktok-
"Nomor :0311/Bank Syariah Indonesia/VI/2024 Tentang: Perubahan Tarif Transaksi Bapak/Ibu Yang Terhormat PENGUMUMAN Sehubungan Dengan Adanya Peningkatan Kualitas Layanan Transaksi Transfer Antar Bank di tahun 2024, Mulai Hari ini Malam Pukul 00.00 WIB, Bank Syariah Indonesia Melakukan Perubahan Skema Tarif Transaksi dari Rp 6.500/transaksi dan BI FAST Rp 2.500 Akan Dirubah Menjadi Rp 150.000/Bulanan (UNLIMITED) Untuk Perubahan Skema tarif transaksi rekening Bank Syariah Indonesia dengan ini Bapak/Ibu Nasabah Bank Syariah Indonesia untuk PERSETUJUANNYA ataupun KONFIRMASINYA di bawah ini: 1. SETUJU dengan tarif baru Rp 150.000/Bulanan unlimited transaksi 2. TIDAK SETUJU dan mau tetap ke tarif lama Rp 6.500/ BI FAST Rp 2.500 Pertransaksi Untuk KONFIRMASI TIDAK SETUJU Silahkan isi FORMULIR melalui Tautan Link yang kami kirim. Pastikan data yang di isi sudah benar.",Tarif Transfer Bank Syariah Indonesia Menjadi 150 Ribu Per Bulan,SALAH,https://beta.turnbackhoax.id/articles/20572-penipuan-pesan-whatsapp-tarif-transfer-bank-syariah-indonesia-menjadi-150-ribu-per-bulan
“Di butuhkan segera karyawan kamar jenazah Rs kardinah tega syarat - usia 19-30th - Ktp - Ijazah sma/smk sederajaat - Siap mental - Gaji 8 jt perbulan - Uang lembur 200 - Inventaris kendaraan dari dinas Siap mengikuti pelatihan pemandian jenazah sesuai syariat islam”,Lowongan Kerja Karyawan Kamar Jenazah RSUD Kardinah Kota Tegal,SALAH,https://beta.turnbackhoax.id/articles/17001-salah-pesan-whatsapp-lowongan-kerja-karyawan-kamar-jenazah-rsud-kardinah-kota-tegal
"Maaf, kami tidak dapat memproses pengiriman ke alamat Anda karena alamat yang Anda berikan kosong. Mohon isi alamat pengiriman Anda https://posIndonesia[dot]xyz/id/",PESAN SMS ATAS NAMA POS INDONESIA,SALAH,https://beta.turnbackhoax.id/articles/20258-penipuan-pesan-sms-atas-nama-pos-indonesia-
"KENAPA PRODUKSIDan PENYEBARAN-Nya ADA DI BOGOR,,Kemarin Di Gunung Putri,,Di Cibinong,,Cisarua Lalu Di Cigombong,,Sekarang Di Sentul,, Untuk Ibu-Ibu Dan Orang-tua,,Waspada Dan Hati-Hati Untuk Yang SukaBeli Gorengan,,Mau-Pun Tepung Buat Goreng Makanan,,Sekarang Ada MODUS BARU,,Gorengan-Nya Di Campur Bubuk NarkobaBiar Lebih Crispy Dan Enak,,Hingga Nanti-Nya KetagihanSetelah Ketagihan Disitulah Akan AdaGejala Seperti Demam Dan Menggigil YangSangat Dahsyat,,Jika Tidak Di Belikan Gorengan Yang BiasaDikonsumsi,,Maka Lebih Menderita Seperti Orang Pesakitan,,Epilepsi/Ayan Dan Bahkan Lebih FATAL !!!Pelaku-Nya Sudah Di Tangkap Di DaerahSentul-Bogor. Hati2..!, Tolong BantuVIRALKAN !!
",Narkoba Dicampur Kedalam Tepung Gorengan,SALAH,https://beta.turnbackhoax.id/articles/21278-salah-pesan-whatsapp-video-narkoba-dicampur-kedalam-tepung-gorengan
"“JAGA² SAJA,JIKA DOKTER² MAU SUNTIK KITA, KELUARGA KITA ATAU TETANGGA DENGAN ALASAN MAU PENCEGAHAN VAKSIN ATAU ANTI VIRUS,ADA INDIKASI RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER DR CHINA TIONGKOK DISELUNDUPKAN DIPELABUHAN-PELABUHAN..RAKYAT INDONESIA KUDU BERHATI-HATI JIKA PEMERINTAH MEMBERIKAN KEBIJAKAN2 WAJIB TOLAK MENTAH2 KARENA INI ADA RENCANA PEMBUNUHAN MASSAL UNTUK WARGA PRIBUMI..MEREKA TAU JIKA ANIES SAMPAI NAIK JADI PRESIDEN MAKA PROYEK-PROYEK MEREKA CHINA TIONGKOK AKAN BANGKRUT!!WASPADALAH INI DOKTER-DOKTER PESANAN DR TIONGKOK SENGAJA UNTUK MEMBANTAI RAKYAT INDONESIA SECARA PERLAHAN-LAHAN..DR PIHAK RT..RW ..LURAH..CAMAT..WALIKOTA WAJIB MENOLAKNYA DEMI NYAWA ANAK-ANAK BANGSA..REZIM JOKOWI LICIK MENGHALALKAN BERMACAM CARA UNTUK MEMULUSKAN PROYEK2 OBOR MILIK CHINA TIONGKOK!!. SEJAK ENGKOH JOKO WIE MENGUASAI R1, RS PEMERINTAH SDH MULAI BYK DIISI DOKTER2 CINA, TERUTAMA DI RSCM, ADA KAH KORELASINYA DGN MENDTGKAN LSG DOKTER2 KOMUNIS CINA RRCTOOOLOOONG DI VIRALKAN”.",RENCANA BUSUK PEMBUNUHAN MASSAL TEAM DOKTER CHINA DISELUNDUPKAN DI PELABUHAN,SALAH,https://beta.turnbackhoax.id/articles/13525-salah-pesan-berantai-rencana-busuk-pembunuhan-massal-team-dokter-china-diselundupkan-di-pelabuhan-
"PEMBERITAHUAN Bahwa Pemilu 2024 sudah tidak menggunakan undangan fisik, melainkan perindividu dapat mengeceknya di : https://cekdptonline.kpu.go.id/ Cara pengecekan: 1. Buka https://cekdptonline.kpu.go.id/ 2. Masukan NIK 3. Klik “Pencarian” 4. Setelah klik “Pencarian”, akan muncul nama Bapak/Ibu beserta nomor TPS tempat Bapak/ Ibu menyoblos
",Pemberitahuan Pemilu 2024 Tidak Menggunakan Undangan Fisik,SALAH,https://beta.turnbackhoax.id/articles/15901-salah-pesan-whatsapp-pemberitahuan-pemilu-2024-tidak-menggunakan-undangan-fisik
"Innalillahi wa Inna Illaihi roji'un Assalammu'alaikum Wr Wb Breaking News: Meneruskan info dr Ibu Dubes KBRI KL Tolong beritahu adek2, suami, isteri dan semua teman2 Perhatian; Mulai saat ini jangan makan makanan kaleng,terutama buah2an, khususnya produksi Thailand. Karena di negara itu ada kira2 200 orang pengidap aids kerja di pabrik kalengan, dan mereka masukkan darah mereka ke dalam kalengan2 itu, dan saat ini masalah tersebut telah diketahui DepKes Thailand sehingga kaleng2an tersebut telah banyak di sita ttpi lebih banyak yg sdh terlajur diekspor. Contoh; Lecy, Rambutan, Lengkeng, Mangga Puding dll. Setelah terima ini cepat kirim ke saudar2 n teman2 semua. Agar tidak konsumsi kalengan apapun...... Demi keselamatan kita semua. Info dr ibu dubes KBRI (Rita Toisuta Arifson Kementrian Kesehatan RI) Simak Beritanya :http://health.liputan6.hb/ read/678535 (semoga bermanfaat}. Mohon bantu share ya.. [!!!! WARNING!!!! Tolong disebar luas kan Mohon ijin info Ikatan Dokter Indonesia (IDI), menginformasikan bahwa saat ini sedang ada wabah Pengerasan Otak (Kanker Otak), Diabetes dan Pengerasan Sumsum Tulang Belakang (Mematikan sumsum tulang belakang)."" Untuk itu, hindarilah minuman sbb: 1. Extra Joss, 2. M-150, 3. Kopi Susu Gelas (Granita), 4. Kiranti, 5. Krating Daeng, 6. Hemaviton, 7. Neo Hemaviton, 8. Marimas, 9. Segar Sari shachet, 10. Frutillo, 11. Pop Ice, 12. Segar Dingin Vit. C, 13. Okky Jelly Drink, 14. Inaco, 15. Gatorade, 16. Nabati, 17. Adem Sari, 18. Naturade Gold, 19. Aqua Splash Fruit. Karena ke-19 minuman tsb mengandung ASPARTAME (lebih keras dr biang gula) racun yg menyebabkan diabetes, v otak, dan mematikan sumsum tulang. Info: RS Fatmawati, RSCM, RS Siloam, All RS Nara sumber : Dr. H. Ismuhadi, MPH",Imbauan Ibu Dubes KBRI Kuala Lumpur Dan IDI Keluarkan Daftar Minuman Mengandung Aspartam,SALAH,https://beta.turnbackhoax.id/articles/14771-salah-pesan-berantai-imbauan-ibu-dubes-kbri-kuala-lumpur-dan-idi-keluarkan-daftar-minuman-mengandung-aspartam
“CUKUP VIRALKAN INI DAN DIKOPI KASIKAN KE RAKYAT PLOSOK PLOSOK DESA INSYA ALLAH PASTI TUMBANG DAN PASTI DIBENCI SAMA RAKYAT KAUM PEDESAAN PERDALAMAN PDIP USUL KE PEMERINTAH AGAR PESANTREN DI TUTUP SELURUH INDONESIA”,"PDIP Usul Penutupan Pesantren di Indonesia
",SALAH,https://beta.turnbackhoax.id/articles/13686-salah-pdip-usul-penutupan-pesantren-di-indonesia
"WARNING…!!! WOW…, TERNYATA PRODUKSI BERAS SINTETIS/BERAS PALSU/BERAS PLASTIC ASAL RRC CINA KOMUNIS SUDAH MULAI DI DISTRIBUSIKAN KE SELURUH WILAYAH INDONESIA…, INI TERULANG KEMBALI TERJADI KARENA TARGETNYA MAU MEMBUNUH MASSAL PERLAHAN, TAPI PASTI’ SELURUH RAKYAT INDONESIA DENGAN CARA GENOSIDA PADA BAHAN-² MAKANAN POKOK KEBUTUHAN SEHARI-HARI KITA RAKYAT INDONESIA WASPADA…!!! BILA MASIH ADA DIDALAM HATI & DIRI ANDA JIWA’ PATRIOTISME CINTAI NKRI/ JIHAD FISABILILLAAH VIRALKAN VIDEO INI KE SELURUH PELOSOK NEGERI…”",BERAS PALSU ASAL RRC CINA KOMUNIS SUDAH MULAI DI DISTRIBUSIKAN KE SELURUH WILAYAH INDONESIA,SALAH,https://beta.turnbackhoax.id/articles/13491-salah-pesan-berantai-beras-palsu-asal-rrc-cina-komunis-sudah-mulai-di-distribusikan-ke-seluruh-wilayah-indonesia-
Assalamualaikum Apa Benar ini dengan pengurus Lembaga AL MUBALLIGHIN ALAMAT SIBOTO RT. 11. KALIMACAN KAB SRAGEN” “Waalaikumsalam. Iya benar. Salah satu anggota pengurus” “Sebelumnya perkenalkan saya M Ferry Setiawan Staff Dari Sekretariat Daerah Pemerintah Kab Sragen” “Niat dan tujuan saya menghubungi Bapak/Ibu adalah ingin menyampaikan Amanah dari Bpk.Hargiyanto Selaku Sekda Kab Sragen yang ingin menyalurkan Bantuan untuk Keperluan Pembangunan atau Keperluan Lainnya Di Masjid/Musholla/TPQ/Madrasyah/Pesantren,Staf Sekretariat Daerah Kabupaten Sragen Menawarkan Bantuan,SALAH,https://beta.turnbackhoax.id/articles/13422-salah-pesan-whatsapp-staf-sekretariat-daerah-kabupaten-sragen-menawarkan-bantuan
